Timestamp,Address,Status,Cost
2025-11-28 01:19:35,5 Bairro da Cerca Nova,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:19:46,Neta,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:19:49,5 de Outubro,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:19:57,Pocinhos,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:20:10,Areias,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:20:17,3,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:21:00,Giesteiras Fundeiras,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:21:04,Boiça,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:21:08,Alto da Ramalhada,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:21:27,Primavera,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:21:36,Feteira,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:21:40,Barbeirinha,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:21:48,Cabanelas,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:22:01,Ribeira,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:45:16,Avelino Teixeira da Mota Bairro da Flamenga,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:45:26,Penha de França,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:45:40,Aniceto do Rosário,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:45:54,Engenheiro António Maria de Avelar,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:45:57,Paulo Martins,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:46:43,André Vidal Negreiros Bairro das Amendoeiras,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:46:57,Louro Quinta Louro,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:47:13,Santa Clara,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:47:16,Pretas,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 01:47:20,Quinta do Jacinto,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:03:33,República,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:03:38,Doutor José Alberto de Faria,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:03:49,São Paulo,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:03:53,Conde,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:03:58,Professor César Oliveira Rua Professor Damião Peres,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:04:25,Professor Sousa da Câmara,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:04:42,Belém,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:04:49,Casal Ribeiro,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:05:02,Alferes Mota da Costa,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:05:33,Carriche,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:05:36,Garcia,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:05:56,Fonte do Louro,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:06:05,Carlos Alberto da Mota Pinto,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:17:44,República,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:17:48,Doutor José Alberto de Faria,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:17:59,São Paulo,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:18:02,Conde,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:18:06,Professor César Oliveira Rua Professor Damião Peres,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:18:31,Professor Sousa da Câmara,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:18:46,Belém,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:18:53,Casal Ribeiro,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:19:07,Alferes Mota da Costa,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:19:36,Carriche,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:19:40,Garcia,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:19:57,Fonte do Louro,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 02:20:03,Carlos Alberto da Mota Pinto,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 03:11:26,República,ZERO_RESULTS,1
2025-11-28 03:11:31,Doutor José Alberto de Faria,ZERO_RESULTS,1
2025-11-28 03:11:43,São Paulo,ZERO_RESULTS,1
2025-11-28 03:11:46,Conde,ERROR: REQUEST_DENIED (This API project is not authorized to use this API.),0
2025-11-28 03:11:50,Professor César Oliveira Rua Professor Damião Peres,ZERO_RESULTS,1
2025-11-28 03:12:17,Professor Sousa da Câmara,ZERO_RESULTS,1
2025-11-28 03:12:30,Belém,ZERO_RESULTS,1
2025-11-28 03:12:37,Casal Ribeiro,ZERO_RESULTS,1
2025-11-28 03:12:50,Alferes Mota da Costa,ZERO_RESULTS,1
2025-11-28 03:13:20,Carriche,ZERO_RESULTS,1
2025-11-28 03:13:23,Garcia,ZERO_RESULTS,1
2025-11-28 03:13:41,Fonte do Louro,ZERO_RESULTS,1
2025-11-28 03:13:48,Carlos Alberto da Mota Pinto,ZERO_RESULTS,1
2025-11-28 03:26:58,República,ZERO_RESULTS,1
2025-11-28 03:27:03,Doutor José Alberto de Faria,ZERO_RESULTS,1
2025-11-28 03:27:15,São Paulo,ZERO_RESULTS,1
2025-11-28 03:27:18,Conde,SUCCESS,1
2025-11-28 03:27:22,Professor César Oliveira Rua Professor Damião Peres,ZERO_RESULTS,1
2025-11-28 03:27:47,Professor Sousa da Câmara,ZERO_RESULTS,1
2025-11-28 03:28:01,Belém,ZERO_RESULTS,1
2025-11-28 03:28:08,Casal Ribeiro,ZERO_RESULTS,1
2025-11-28 03:28:21,Alferes Mota da Costa,ZERO_RESULTS,1
2025-11-28 03:28:50,Carriche,ZERO_RESULTS,1
2025-11-28 03:28:54,Garcia,ZERO_RESULTS,1
2025-11-28 03:29:14,Fonte do Louro,ZERO_RESULTS,1
2025-11-28 03:29:21,Carlos Alberto da Mota Pinto,ZERO_RESULTS,1
2025-11-28 03:35:33,Manuel Teixeira Gomes Bairro das Amendoeiras,ZERO_RESULTS,1
2025-11-28 03:35:34,Fernão Penteado,ZERO_RESULTS,1
2025-11-28 03:35:35,Almirante Sarmento Rodrigues,ZERO_RESULTS,1
2025-11-28 03:35:37,República,ZERO_RESULTS,1
2025-11-28 03:35:38,Doutor José Alberto de Faria,ZERO_RESULTS,1
2025-11-28 03:35:39,Almirante Reis,ZERO_RESULTS,1
2025-11-28 03:35:41,Fernando Pessoa,ZERO_RESULTS,1
2025-11-28 03:35:42,Barbadinhos,ZERO_RESULTS,1
2025-11-28 03:35:43,São Paulo,ZERO_RESULTS,1
2025-11-28 03:35:45,Conde,ZERO_RESULTS,1
2025-11-28 03:35:46,Professor César Oliveira Rua Professor Damião Peres,ZERO_RESULTS,1
2025-11-28 03:35:47,Fernanda Alves Zona 3,ZERO_RESULTS,1
2025-11-28 03:35:49,Andrade Corvo,ZERO_RESULTS,1
2025-11-28 03:35:50,São Marçal,ZERO_RESULTS,1
2025-11-28 03:35:52,Fernanda Alves Zona 3,ZERO_RESULTS,1
2025-11-28 03:35:53,Almirante Sarmento Rodrigues,ZERO_RESULTS,1
2025-11-28 03:35:54,Jacinto Nunes,ZERO_RESULTS,1
2025-11-28 03:35:56,Francisco Rodrigues Lobo,ZERO_RESULTS,1
2025-11-28 03:35:57,Professor Sousa da Câmara,ZERO_RESULTS,1
2025-11-28 03:35:58,Dona Estefânia,ZERO_RESULTS,1
2025-11-28 03:36:00,Olival,ZERO_RESULTS,1
2025-11-28 03:36:01,Professor Pais da Silva,ZERO_RESULTS,1
2025-11-28 03:36:02,João Paulo II Bairro do Condado,ZERO_RESULTS,1
2025-11-28 03:36:04,Belém,ZERO_RESULTS,1
2025-11-28 03:36:08,Frederico Perry Vidal,ZERO_RESULTS,1
2025-11-28 03:36:09,Casal Ribeiro,ZERO_RESULTS,1
2025-11-28 03:36:10,António Vilar Quinta do Grafanil,ZERO_RESULTS,1
2025-11-28 03:36:11,Infante Dom Pedro,ZERO_RESULTS,1
2025-11-28 03:36:13,Vale Formoso de Cima,ZERO_RESULTS,1
2025-11-28 03:36:14,Alferes Mota da Costa,ZERO_RESULTS,1
2025-11-28 03:36:16,Luís Cristino da Silva Bairro dos Loios,ZERO_RESULTS,1
2025-11-28 03:36:17,Dom João II,ZERO_RESULTS,1
2025-11-28 03:36:18,Estação de Braço de Prata,ZERO_RESULTS,1
2025-11-28 03:36:20,Bairro Nova Brasília,ZERO_RESULTS,1
2025-11-28 03:36:21,Professor Pais da Silva,ZERO_RESULTS,1
2025-11-28 03:36:22,António Ferreira,ZERO_RESULTS,1
2025-11-28 03:36:24,Cabo Manuel Leitão,ZERO_RESULTS,1
2025-11-28 03:36:25,Luís de Camões,ZERO_RESULTS,1
2025-11-28 03:36:26,Prior Coutinho,ZERO_RESULTS,1
2025-11-28 03:36:28,Carriche,ZERO_RESULTS,1
2025-11-28 03:36:29,Garcia,ZERO_RESULTS,1
2025-11-28 03:36:30,Sebastião Saraiva Lima,ZERO_RESULTS,1
2025-11-28 03:36:32,Cruzes da Sé,ZERO_RESULTS,1
